Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,030725","3,6982E-06","0,058678",0,0,0,1,"0,00056913","1,8119E-10","-1,377E-13","0,0010125","-2,3045E-09","0,0011682",0,0,0,0,0,0,package://urdf_Scara/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_Scara/meshes/base_link.STL,,15.03.06.960100.000 СБ.stp-1/15.03.06.960300.000 СБ.stp-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hand1,"0,125","-1,0383E-12","0,021",0,0,0,"2,2","0,00019949","7,7477E-15","3,0987E-21","0,0020145","-1,9543E-22","0,0021968",0,0,0,0,0,0,package://urdf_Scara/meshes/hand1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_Scara/meshes/hand1.STL,,15.03.06.960100.000 СБ.stp-1/15.03.06.960400.000 СБ.stp-1,hand1_cs,hand1_axis,hand1,revolute,0,0,"0,115",0,0,0,base_link,0,0,-1,10,"4,2","-2,967","2,967",,,,,,,,
hand2,"0,04043","5,7262E-06","0,043401",0,0,0,"1,5","0,00020214","-1,8119E-10","-1,377E-13","0,00074063","2,3045E-09","0,00089213",0,0,0,0,0,0,package://urdf_Scara/meshes/hand2.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_Scara/meshes/hand2.STL,,15.03.06.960100.000 СБ.stp-1/15.03.06.960500.000 СБ.stp-1/15.03.06.960200.000 СБ.stp-1;15.03.06.960100.000 СБ.stp-1/15.03.06.960500.000 СБ.stp-1/eBom-prt34.stp-1;15.03.06.960100.000 СБ.stp-1/15.03.06.960500.000 СБ.stp-1/eBom-prt28.stp-1;15.03.06.960100.000 СБ.stp-1/15.03.06.960500.000 СБ.stp-1/eBom-prt28.stp-2;15.03.06.960100.000 СБ.stp-1/15.03.06.960500.000 СБ.stp-1/eBom-prt29.stp-1;15.03.06.960100.000 СБ.stp-1/15.03.06.960500.000 СБ.stp-1/eBom-prt29.stp-2,hand2_cs,hand2_axis,hand2,revolute,"0,25",0,"0,036",0,0,0,hand1,0,0,-1,10,"4,2",0,0,,,,,,,,
hand3,"1,689E-05","4,2701E-06","0,041887",0,0,0,"3,1","0,00010992","3,7363E-09","-2,3045E-09","5,65E-05","1,3407E-13","9,5533E-05",0,0,0,0,0,0,package://urdf_Scara/meshes/hand3.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urdf_Scara/meshes/hand3.STL,,15.03.06.960100.000 СБ.stp-1/15.03.06.960500.000 СБ.stp-1/eBom-asm8.stp-1,hand3_cs,hand3_axis,hand3,prismatic,"0,2415",0,"0,004",0,0,0,hand2,0,0,-1,30,"0,63",0,"0,1",,,,,,,,
